;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0.06688023];[0.45610639];[-0.16644964];[1.18049149];0.10471975511965978;0.11021127;0;[0.06324776];[0.43133382];[-0.15740924];[1.1163753];0.10471975511965978;0.10422535;0;367714357389600
1;[0.10563536];[0.5340665];[-0.07811039];[1.50667685];0.10471975511965978;0.11021127;0;[0.09989478];[0.50468589];[-0.0719009];[1.45564743];0.10471975511965978;0.10422535;0;367714424327600
2;[0.12236785];[0.39684413];[0.04695312];[0.5509749];0.10471975511965978;0.11021127;0;[0.11526799];[0.37100027];[0.04892859];[0.53216603];0.10471975511965978;0.10352112999999999;0;367714491326800
3;[0.12480098];[0.19656349];[0.12849065];[-0.12398094];0.10471975511965978;0.11021127;0;[0.11770603];[0.18293821];[0.12533447];[-0.10312222];0.10471975511965978;0.10422535;0;367714558410000
4;[0.11936752];[0.01970412];[0.15958804];[-0.40753673];[0.0726854];0.10880282;0;[0.11304049];[0.01884989];[0.15371878];[-0.36346964];[0.0683308];0.10352112999999999;0;367714625483400
5;[0.11171403];[-0.09148368];[0.14195191];[-0.55854121];[0.01985795];0.10739437;0;[0.1056044];[-0.08861794];[0.13656568];[-0.55006816];[0.01740636];0.10140845000000001;0;367714692540900
6;[0.10385707];[-0.14055553];[0.09393634];[-0.61992344];[0.00091744];0.10387323999999999;0;[0.09749886];[-0.13911];[0.09092932];[-0.61370957];[-0.00283771];0.09718310000000001;0;367714759564900
7;[0.09722446];[-0.14188816];[0.04619128];[-0.3930359];[0.00368066];0.09964789;0;[0.08943797];[-0.14981113];[0.0468888];[-0.4251986];[-0.0060682];0.09084507;0;367714826697500
8;[0.08585604];[-0.16198698];[0.03138162];[-0.22929193];[-0.01209407];0.08485915000000001;0;[0.07511664];[-0.18564492];[0.0342159];[-0.32663009];[-0.03153886];0.07253521;0;367714893866700
9;[0.07454331];[-0.16713261];[0.0149596];[-0.22552249];[-0.02010215];0.07429577;0;[0.06223744];[-0.18913719];[0.0091578];[-0.33953532];[-0.03826291];0.06197183;0;367714960884800
10;[0.05681009];[-0.2082986];[0.01724345];[-0.29198397];[-0.05303578];0.05246479;0;[0.04397795];[-0.21988887];[0.00407308];[-0.3369219];[-0.06564655];0.04014085;0;367715027841500
11;[0.04238391];[-0.20508827];[-0.00821705];[-0.37229781];[-0.05758913];0.04190141;0;[0.02921759];[-0.20851599];[-0.02216302];[-0.36237407];[-0.06677344];0.02887324;0;367715095153500
12;[0.03052972];[-0.17798276];[-0.03214604];[-0.21861493];[-0.05033711];0.031338029999999996;0;[0.01744037];[-0.17462889];[-0.04457285];[-0.19192596];[-0.05671903];0.01830986;0;367715162039400
13;[0.02069852];[-0.14444026];[-0.04361297];[-0.06171591];[-0.04101637];0.021478869999999997;0;[0.00780222];[-0.13751485];[-0.05316848];[-0.03452682];[-0.04618012];0.0084507;0;367715229073400
14;[0.00748449];[-0.14823685];[-0.03214622];[-0.06086566];[-0.05536744];0.00457746;0;[-0.00483357];[-0.13777577];[-0.03988481];[-0.03920667];[-0.05879877];-0.00774648;0;367715296183800
15;[-0.00213606];[-0.12809777];[-0.03955997];[-0.1301113];[-0.05199942];-0.00246479;0;[-0.01329223];[-0.11247153];[-0.04651228];[-0.10180531];[-0.05233674];-0.01338028;0;367715363212200
16;[-0.00835253];[-0.09245783];[-0.04884251];[-0.03198995];[-0.03910568];-0.00739437;0;[-0.01849876];[-0.07568143];[-0.05296604];[-1.40701223e-05];[-0.03869429];-0.01760563;0;367715430286600
17;[-0.01241037];[-0.05804727];[-0.0488042];[0.07635725];[-0.02694944];-0.01161972;0;[-0.02171881];[-0.04273786];[-0.05027384];[0.09320469];[-0.02701942];-0.02112676;0;367715497297200
18;[-0.01527465];[-0.03353284];[-0.04096561];[0.11633926];[-0.01967054];-0.015140849999999999;0;[-0.02344999];[-0.01764282];[-0.04207819];[0.12481289];[-0.01862708];-0.02323944;0;367715564351400
19;[-0.0158225];[-0.00811878];[-0.03503514];[0.12545047];[-0.00967942];-0.015140849999999999;0;[-0.0231123];[0.00623499];[-0.03491285];[0.13365376];[-0.00888569];-0.02253521;0;367715631409900
20;[-0.01414408];[0.01762924];[-0.02927055];[0.15857442];[0.00215671];-0.013028169999999999;0;[-0.02113162];[0.02688212];[-0.02727155];[0.15054407];[0.0005446];-0.02042254;0;367715698572800
21;[-0.01201053];[0.03131969];[-0.01828361];[0.16929632];[0.00789117];-0.01161972;0;[-0.01816311];[0.04127091];[-0.01826008];[0.15489597];[0.00766374];-0.01760563;0;367715765482100
22;[-0.00960315];[0.03658012];[-0.00788761];[0.1321532];[0.01027313];-0.00950704;0;[-0.01539925];[0.04413191];[-0.00736314];[0.12663206];[0.00909817];-0.01549296;0;367715832662600
