;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
29;[-0.00325117];[-0.00499724];[-0.02174842];[-0.09136334];[-0.03943314];-0.00387324;5.0;[-0.02211458];[-0.05990864];[0.01539405];[-0.03404862];[-0.00059008];-0.02323944;-6.0;372055903634900
30;[-0.00318357];[0.00697142];[-0.02885253];[-0.0887295];[-0.04036182];-0.00316901;6.0;[-0.03039493];[-0.09126056];[0.01988414];[-0.15760171];[-0.02185632];-0.03309859;-6.0;372055970669300
31;[-0.00238422];[0.02015817];[-0.03341637];[-0.05815496];[-0.03291897];-0.00246479;6.0;[-0.03659567];[-0.09259173];[0.00390886];[-0.21506863];[-0.02398245];-0.03661972;-6.0;372056037746500
32;[-0.00171335];[0.02674829];[-0.03092569];[-0.01372493];[-0.030028];-0.00246479;6.0;[-0.03897623];[-0.06226065];[-0.01695367];[-0.07140912];[-0.00839555];-0.03661972;-6.0;372056104849300
33;[0.00083828];[0.04187513];[-0.03158522];[0.01174702];[-0.02107341];0.00105634;6.0;[-0.04288437];[-0.05266034];[-0.01439216];[0.04920488];[-0.00800371];-0.042957749999999996;-6.0;372056171840300
34;[0.00350785];[0.04992629];[-0.02651057];[0.04671735];[-0.01642158];0.00316901;6.0;[-0.04590504];[-0.04290347];[-0.01218845];[0.03461717];[-0.00629236];-0.04577465;-6.0;372056238895200
35;[0.0064407];[0.05394108];[-0.02079554];[0.03883334];[-0.01338169];0.0059859200000000005;6.0;[-0.04813732];[-0.0332558];[-0.01075827];[0.03623544];[-0.00391863];-0.047887320000000004;-6.0;372056305936900
36;[0.01151013];[0.06873882];[-0.02096171];[0.0594978];[-0.00268346];0.01232394;6.0;[-0.05048676];[-0.029712];[-0.00718819];[0.02848251];[-0.00481425];-0.050704229999999996;-6.0;372056373074000
37;[0.01601246];[0.07171647];[-0.01337574];[0.08999631];[0.00060831];0.015845070000000003;6.0;[-0.05219311];[-0.02447477];[-0.00639237];[0.01302282];[-0.00385898];-0.052112679999999995;-6.0;372056440189500
38;[0.02037804];[0.06979359];[-0.00644709];[0.06085551];[0.00189426];0.020070420000000002;6.0;[-0.05316143];[-0.01701292];[-0.0067068];[0.02215835];[-0.00117764];-0.0528169;-6.0;372056507142700
39;[0.02884574];[0.09480446];[-0.01252264];[0.10869662];[0.02098988];0.031338029999999996;6.0;[-0.05420617];[-0.01384327];[-0.00449218];[0.02779034];[-0.00100284];-0.05422535;-6.0;372056574163100
40;[0.03497164];[0.09197454];[0.00063535];[0.17032877];[0.02169373];0.03485915;6.0;[-0.05454831];[-0.00811032];[-0.00424661];[0.02570221];[0.001309];-0.05422535;-6.0;372056641275600
41;[0.03894169];[0.07176595];[0.01449186];[0.06735143];[0.01321208];0.03767606;6.0;[-0.05453868];[-0.00300098];[-0.00326539];[0.03674443];[0.0034202];-0.05422535;-6.0;372056708336100
42;[0.04034717];[0.04085862];[0.02226093];[-0.06519935];[-0.0008697];0.03838028;6.0;[-0.05398393];[0.0028638];[-0.00235707];[0.04614788];[0.00632427];-0.05352113;-6.0;372056775485000
43;[0.04136323];[0.02155224];[0.01691655];[-0.14407293];[-0.00756808];0.04049296;6.0;[-0.05362284];[0.0040524];[0.00072486];[0.04643185];[-0.00129551];-0.05352113;-5.0;372056842507400
44;[0.04130572];[0.00663978];[0.0101084];[-0.14431091];[-0.01309205];0.04049296;6.0;[-0.05346304];[0.00286257];[0.00069919];[-0.01573577];[-0.00932726];-0.05352113;-4.0;372056909489500
45;[0.04051452];[-0.00363797];[0.00341073];[-0.13498965];[-0.01712818];0.03978873;6.0;[-0.05342283];[0.00215977];[-0.0025664];[-0.05572665];[-0.01667258];-0.05352113;-3.0;372056976627200
46;[0.03955151];[-0.00788222];[-0.0032636];[-0.11421682];[-0.01858612];0.039084509999999996;6.0;[-0.05382836];[0.00030029];[-0.00649559];[-0.08310436];[-0.0248107];-0.05422535;-2.0;372057043677600
47;[0.03910053];[-0.00459842];[-0.00965178];[-0.07520988];[-0.01632235];0.039084509999999996;6.0;[-0.05400794];[0.00263065];[-0.01284719];[-0.09903036];[-0.03042112];-0.05422535;-1.0;372057110730600
48;[0.03775683];[-0.00743964];[-0.00969352];[-0.05215867];[-0.01874862];0.03697183;6.0;[-0.05440761];[0.00455705];[-0.01792676];[-0.10221283];[-0.03668411];-0.05492958;0.0;372057177744800
49;[0.03715625];[-0.00373453];[-0.01264659];[-0.050284];[-0.01695209];0.03697183;6.0;[-0.05448403];[0.00961152];[-0.02374286];[-0.10629964];[-0.04111572];-0.05492958;1.0;372057244868800
50;[0.03831201];[0.01086625];[-0.01760432];[0.00130517];[-0.00858089];0.039084509999999996;6.0;[-0.05392293];[0.01850408];[-0.02966695];[-0.09463795];[-0.04332781];-0.05422535;2.0;372057311987300
51;[0.03873239];[0.01402145];[-0.01309882];[0.039047];[-0.00782865];0.03838028;6.0;[-0.0525871];[0.0301253];[-0.03446409];[-0.07342751];[-0.04394055];-0.0528169;3.0;372057379040000
52;[0.04066083];[0.02443049];[-0.01294309];[0.04034701];[-0.00159344];0.04119718;6.0;[-0.05045704];[0.04280972];[-0.03753076];[-0.05278451];[-0.04378258];-0.050704229999999996;4.0;372057446051700
53;[0.04296298];[0.03184051];[-0.00993114];[0.0679264];[0.00290887];0.043309860000000006;6.0;[-0.04757002];[0.05523417];[-0.03900397];[-0.03872137];[-0.04343964];-0.047887320000000004;5.0;372057513084700
54;[0.04403731];[0.02599204];[-0.00200386];[0.04478083];[-0.00039763];0.043309860000000006;6.0;[-0.04610992];[0.05218251];[-0.03409882];[-0.06967356];[-0.05238321];-0.047887320000000004;6.0;372057580152000
55;[0.04426978];[0.01526308];[0.0026806];[-0.02060407];[-0.00580759];0.043309860000000006;6.0;[-0.0443521];[0.05189938];[-0.03567899];[-0.13263443];[-0.05059969];-0.04577465;6.0;372057647241800
56;[0.04492214];[0.01186995];[0.00030811];[-0.04995467];[-0.00627661];0.04471831;6.0;[-0.0402386];[0.06838422];[-0.04254454];[-0.06865446];[-0.03871771];-0.04014085;6.0;372057714235500
57;[0.04510654];[0.00776885];[-0.0009808];[-0.04264908];[-0.0077797];0.04471831;6.0;[-0.03603521];[0.07841886];[-0.03963915];[0.00953637];[-0.03168447];-0.03661972;6.0;372057781294900
58;[0.04508162];[0.00469563];[-0.00236851];[-0.04363698];[-0.00892802];0.04471831;6.0;[-0.0320129];[0.0807447];[-0.0326071];[0.01271513];[-0.0288608];-0.03309859;6.0;372057848488400
59;[0.04457411];[0.000317];[-0.00292688];[-0.0476347];[-0.01120367];0.04401408;6.0;[-0.02784804];[0.08067822];[-0.02724082];[-0.00858622];[-0.0266045];-0.02887324;6.0;372057915566300
60;[0.04383973];[-0.00314209];[-0.00423783];[-0.05580803];[-0.01307405];0.043309860000000006;6.0;[-0.01983152];[0.10529118];[-0.03294861];[0.04549138];[-0.00813899];-0.01830986;6.0;372057982539600
61;[0.04347113];[-0.00188432];[-0.00723937];[-0.04821642];[-0.01222535];0.043309860000000006;6.0;[-0.01261311];[0.11269738];[-0.02362793];[0.12909211];[-0.00122344];-0.01267606;6.0;372058049567600
62;[0.04337392];[0.00139724];[-0.00920014];[-0.02530514];[-0.01049776];0.043309860000000006;6.0;[-0.00579852];[0.11029743];[-0.01249571];[0.09728265];[0.00094796];-0.00633803;6.0;372058116685300
63;[0.04342824];[0.00448266];[-0.00944455];[-0.00846589];[-0.00905664];0.043309860000000006;6.0;[0.0001777];[0.10010968];[-0.00347772];[0.04178235];[-0.00059833];-0.00070423;6.0;372058183788800
64;[0.04438291];[0.01211659];[-0.01068079];[0.01182362];[-0.0046477];0.04471831;6.0;[0.01375954];[0.14446866];[-0.01954626];[0.13659933];[0.0331478];0.01830986;6.0;372058250703000
65;[0.04581151];[0.01924883];[-0.00967656];[0.0403444];[-0.0005661];0.04612676;6.0;[0.02670866];[0.16496571];[-0.00818709];[0.33400531];[0.04973453];0.02887324;6.0;372058318402200
66;[0.04654644];[0.01750602];[-0.00449926];[0.03495014];[-0.00178469];0.04612676;6.0;[0.03224277];[0.11983263];[0.02818107];[0.19768354];[0.02678035];0.02887324;6.0;372058385410600
67;[0.04847286];[0.02333945];[-0.00502114];[0.02504567];[0.01036993];0.04894366;5.0;[0.0394952];[0.09994082];[0.02985266];[-0.0229639];[0.02383028];0.03943662;6.0;372058452530700
68;[0.05023076];[0.02459146];[0.00011386];[0.08467624];[0.01893868];0.050352110000000005;4.0;[0.04397817];[0.07138853];[0.03145198];[-0.05872002];[0.01410503];0.042957749999999996;6.0;372058519516300
69;[0.05177272];[0.02153352];[0.0075401];[0.09541886];[0.02509188];0.05176056;3.0;[0.04671812];[0.04523369];[0.02846489];[-0.11528484];[0.00508461];0.04577465;6.0;372058586812700
70;[0.05396556];[0.02184763];[0.01223115];[0.10479559];[0.03383919];0.05457746;2.0;[0.04885983];[0.02946226];[0.02023118];[-0.12552359];[0.00120782];0.048591550000000004;6.0;372058653632700
71;[0.05480472];[0.01084359];[0.02164905];[0.10318472];[0.03546148];0.05457746;1.0;[0.04934604];[0.01280609];[0.01528119];[-0.11452513];[-0.00509219];0.048591550000000004;6.0;372058721205900
72;[0.05522817];[-0.00041353];[0.02725973];[0.06884667];[0.03750685];0.05528169;0.0;[0.04828635];[-0.00442672];[0.01130872];[-0.13208546];[-0.01295802];0.0471831;6.0;372058788053200
73;[0.05422189];[-0.01752588];[0.03283858];[0.04103363];[0.03573757];0.053873239999999996;-1.0;[0.04660112];[-0.01576445];[0.00474634];[-0.14434473];[-0.01812929];0.04577465;6.0;372058854786000
74;[0.0520783];[-0.03540061];[0.03546943];[0.00413433];[0.03333975];0.05176056;-2.0;[0.04440579];[-0.02274991];[-0.00176935];[-0.13372441];[-0.0218015];0.043661969999999994;6.0;372058921813000
75;[0.04991234];[-0.04513585];[0.03307942];[0.00019107];[0.03551448];0.050352110000000005;-3.0;[0.04297371];[-0.01902171];[-0.00998757];[-0.09928032];[-0.01972788];0.042957749999999996;6.0;372058988982200
76;[0.04754167];[-0.05091478];[0.03124831];[0.03214691];[0.03909963];0.04823944;-4.0;[0.04212068];[-0.01104221];[-0.0148588];[-0.04205096];[-0.0159956];0.04225352;6.0;372059056015700
77;[0.04347666];[-0.06521194];[0.03493585];[0.03561179];[0.03647951];0.043309860000000006;-5.0;[0.04201107];[-0.00092879];[-0.01659715];[0.00340225];[-0.01127853];0.04225352;6.0;372059123602300
78;[0.03935704];[-0.07377757];[0.0341632];[0.01761054];[0.03738966];0.03978873;-6.0;[0.04265862];[0.00943654];[-0.01586205];[0.03663494];[-0.00629513];0.042957749999999996;6.0;372059190671000
79;[0.03495873];[-0.07980768];[0.03313565];[0.03266741];[0.03133301];0.035563380000000006;-6.0;[0.04316991];[0.01314637];[-0.01135935];[0.04332787];[-0.00510685];0.042957749999999996;6.0;372059257804800
80;[0.03094669];[-0.07962135];[0.02861949];[0.01783086];[0.02921308];0.03204225;-6.0;[0.04429494];[0.01781917];[-0.00903331];[0.03268249];[-0.00250771];0.044366199999999995;6.0;372059324867900
81;[0.02341779];[-0.10202041];[0.03374339];[-0.03167683];[0.01224039];0.022183099999999997;-6.0;[0.04569789];[0.0212945];[-0.0067375];[0.03505042];[-0.00027857];0.04577465;6.0;372059391871700
82;[0.01644986];[-0.10985629];[0.02556842];[-0.11120542];[0.00508516];0.0165493;-6.0;[0.04675183];[0.01987183];[-0.00309832];[0.02499735];[-0.00078189];0.04647887;6.0;372059458962200
83;[0.00587028];[-0.1353905];[0.02502355];[-0.15726064];[-0.01461095];0.00387324;-6.0;[0.04711072];[0.01341953];[0.0003795];[-0.00644938];[-0.00402151];0.04647887;6.0;372059526031500
