;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
437;[0.02958746];[0.13046219];[0.0095658];[-0.00225041];[-0.00305854];0.04073034;9.510565162951535;[-0.08152312];[0.07158647];[-0.0420559];[-0.00356076];[-0.05048761];-0.07352941;3.090169943749474;192284695027400
438;[0.03963691];[0.13235041];[0.00095022];[-0.03823124];[0.02331002];0.04564607;8.910065241883679;[-0.07458238];[0.09907959];[-0.04906981];[-0.01659997];[-0.03631905];-0.06792717;4.5399049973954675;192284761339800
439;[0.04665346];[0.11361447];[0.01222718];[0.09597809];[0.01805487];0.050561800000000004;8.090169943749475;[-0.06771942];[0.11373891];[-0.04399687];[0.06435924];[-0.03999121];-0.06162465;5.877852522924732;192284828371200
440;[0.05185027];[0.08826795];[0.02014369];[-0.01033195];[0.01301159];0.058988759999999994;7.0710678118654755;[-0.06085127];[0.1197138];[-0.03900241];[-0.00393114];[-0.04711778];-0.04901961;7.0710678118654755;192284895523200
441;[0.05832374];[0.08246122];[0.01500605];[-0.01967779];[0.03501147];0.06601124;5.877852522924732;[-0.0503687];[0.14663317];[-0.04704736];[-0.00679829];[-0.02339226];-0.03431373;8.090169943749475;192284962605500
442;[0.06499801];[0.08103408];[0.01788331];[0.13701659];[0.05586956];0.06952247;4.539904997395468;[-0.03660373];[0.18358824];[-0.04767851];[0.19061096];[0.00772098];-0.02591036;8.910065241883679;192285029793100
443;[0.06968091];[0.06406414];[0.03305172];[0.19125993];[0.05698363];0.07233146;3.0901699437494745;[-0.02517092];[0.18406729];[-0.02369406];[0.26572861];[-0.0045215];-0.017506999999999998;9.510565162951535;192285096851600
444;[0.07270619];[0.03947571];[0.04469075];[0.10567958];[0.05541945];0.0744382;1.5643446504023093;[-0.01569224];[0.16453772];[-0.00745109];[0.0355455];[-0.02318312];-0.00910364;9.876883405951379;192285163732800
445;[0.07448661];[0.01549387];[0.04964424];[0.04924192];[0.05789784];0.0758427;6.123233995736766e-16;[-0.00743232];[0.14353036];[-0.00615798];[-0.13297516];[-0.03188412];0.0070028;10.0;192285230989200
446;[0.07539974];[-0.00401852];[0.05129671];[0.05320274];[0.06471571];0.0744382;-1.5643446504023082;[0.00505808];[0.16243449];[-0.02388203];[-0.07666712];[0.00917779];0.01470588;9.876883405951379;192285298212800
447;[0.07439415];[-0.02794722];[0.05631787];[0.06995395];[0.06318039];0.06811798;-3.0901699437494736;[0.01519797];[0.15842241];[-0.0112369];[0.17048554];[0.01067674];0.02941176;9.510565162951536;192285365118100
448;[0.06952379];[-0.06789748];[0.06479065];[-0.00612314];[0.04237926];0.06390449000000001;-4.5399049973954675;[0.02792348];[0.16940934];[-0.00765995];[0.14698556];[0.03913862];0.037114850000000005;8.910065241883679;192285432244100
449;[0.06399914];[-0.09359403];[0.05729513];[-0.12318321];[0.0415933];0.05828652;-5.87785252292473;[0.03784801];[0.15318156];[0.01288041];[0.22249699];[0.03403751];0.04411765;8.090169943749475;192285499170400
450;[0.05780776];[-0.10859539];[0.04878663];[-0.06315286];[0.04533236];0.04564607;-7.071067811865475;[0.04547111];[0.12333592];[0.02761903];[0.06184918];[0.02484045];0.05532213;7.0710678118654755;192285566123500
451;[0.04736036];[-0.14322792];[0.05355186];[-0.06094826];[0.01809426];0.04564607;-8.090169943749473;[0.05443673];[0.114157];[0.02385603];[0.0047972];[0.04725448];0.05532213;5.877852522924733;192285633124200
452;[0.04235585];[-0.12343413];[0.02797736];[-0.09759459];[0.05777228];0.03019663;-8.910065241883679;[0.05773773];[0.07075349];[0.04132484];[0.06021811];[0.02307412];0.06442577;4.539904997395468;192285700393700
453;[0.03163876];[-0.14724316];[0.04293096];[0.12843252];[0.02405726];0.02106742;-9.510565162951535;[0.06336477];[0.06077641];[0.031487];[-0.07386176];[0.04957017];0.06652661;3.090169943749475;192285767335100
454;[0.02120176];[-0.16046993];[0.03813541];[-0.11455455];[0.01372787];0.01123596;-9.876883405951377;[0.06664244];[0.04134743];[0.03750229];[0.09965954];[0.05347422];0.06792717;1.5643446504023097;192285834558800
455;[0.01083819];[-0.16383626];[0.02699283];[-0.11297669];[0.00958651];-0.00912921;-10.0;[0.06823999];[0.01742223];[0.04523724];[0.07077462];[0.0535842];0.06792717;1.2246467991473533e-15;192285901407100
456;[-0.00561772];[-0.2036197];[0.03331894];[-0.18177899];[-0.04471882];-0.02036517;-9.876883405951379;[0.0682151];[-0.00796502];[0.04994048];[0.03229124];[0.05305746];0.06652661;-1.5643446504023073;192285968659200
457;[-0.01992446];[-0.20744205];[0.0060761];[-0.42075407];[-0.04797192];-0.030898880000000004;-9.510565162951536;[0.06668242];[-0.03236394];[0.05193962];[0.01033368];[0.05288322];0.06372549;-3.0901699437494727;192286035762300
458;[-0.03187653];[-0.18441607];[-0.02060466];[-0.23587046];[-0.03574929];-0.05337079;-8.910065241883679;[0.06374603];[-0.05484552];[0.05244799];[0.00381476];[0.05256224];0.05532213;-4.539904997395467;192286102770400
459;[-0.0494938];[-0.20499917];[-0.01328979];[-0.1709412];[-0.08911061];-0.07233146;-8.090169943749475;[0.05691461];[-0.09295393];[0.05864234];[-0.04303418];[0.03067999];0.042016809999999995;-5.87785252292473;192286169804800
460;[-0.06846628];[-0.22375455];[-0.02650051];[-0.50283315];-0.10471975511965978;-0.07233146;-7.071067811865477;[0.04516038];[-0.14619719];[0.06056589];[-0.23364686];[-0.00650384];0.042016809999999995;-7.071067811865475;192286237066000
461;[-0.07630757];[-0.15145358];[-0.07391407];[-0.27898643];[-0.06847299];-0.08778090000000001;-5.877852522924733;[0.03919685];[-0.13140049];[0.02410711];[-0.26906749];[0.03786526];0.025210080000000003;-8.090169943749473;192286303968900
462;[-0.08668859];[-0.12126343];[-0.07055408];[0.0191066];[-0.08153737];-0.09761236000000001;-4.539904997395469;[0.02720796];[-0.15702776];[0.03393713];[0.03865891];[0.0064367];0.006302520000000001;-8.910065241883679;192286371047200
463;[-0.09598992];[-0.09972658];[-0.06795701];[-0.10485002];[-0.09690148];-0.10112360000000001;-3.0901699437494754;[0.0103131];[-0.20548608];[0.04015118];[-0.26047717];[-0.04309908];-0.00420168;-9.510565162951535;192286438066600
464;[-0.10122582];[-0.06041681];[-0.07944823];[-0.14620754];[-0.08614429];-0.10252808999999999;-1.5643446504023104;[-0.00393442];[-0.20979631];[0.00965815];[-0.43868348];[-0.03514186];-0.01540616;-9.876883405951377;192286505352800
465;[-0.10307206];[-0.01449198];[-0.08529845];[-0.0111332];[-0.07240273];-0.10252808999999999;-1.5643446504023104;[-0.01627437];[-0.19002918];[-0.01355929];[-0.1876565];[-0.01888783];-0.02591036;-9.876883405951377;192286572239200
466;[-0.10260554];[0.02502972];[-0.08121714];[0.07253034];[-0.04568051];-0.10112360000000001;-1.5643446504023104;[-0.02688963];[-0.16335342];[-0.02101129];[0.01100557];[-0.01027592];-0.03571429;-9.876883405951377;192286639325500
467;[-0.10060019];[0.05251222];[-0.0661301];[0.17259039];[-0.03352923];-0.09410112;-1.5643446504023104;[-0.03630428];[-0.14064881];[-0.01943404];[0.07328104];[-0.00778136];-0.05392157;-9.876883405951377;192286706250200
468;[-0.09494145];[0.08594711];[-0.05632438];[0.1869022];[-0.00747818];-0.08918539;-1.5643446504023104;[-0.0504869];[-0.16243665];[-0.00146817];[-0.03575964];[-0.05464697];-0.06232493;-9.876883405951377;192286773350000
469;[-0.08894705];[0.10074894];[-0.03658169];[0.24424856];[-0.00213413];-0.08216291999999999;-1.5643446504023104;[-0.06178622];[-0.15578806];[-0.018255];[-0.29936991];[-0.05109345];-0.07002801;-9.876883405951377;192286840386500
470;[-0.08206385];[0.10809702];[-0.02182371];[0.16627911];[0.00355134];-0.06741573;-1.5643446504023104;[-0.07062993];[-0.13011006];[-0.03492391];[-0.14004081];[-0.03416352];-0.08193277;-9.876883405951377;192286907413500
471;[-0.07030033];[0.14076098];[-0.02244711];[0.20401335];[0.04421517];-0.05196629;-1.5643446504023104;[-0.08060076];[-0.12149802];[-0.03091266];[-0.02240377];[-0.04521481];-0.09033613000000001;-9.876883405951377;192286974473600
472;[-0.05548566];[0.17572495];[-0.01077162];[0.4416421];[0.08044845];-0.043539329999999994;-1.5643446504023104;[-0.08942176];[-0.11015622];[-0.03259662];[-0.10058461];[-0.04683714];-0.09383754;-9.876883405951377;192287041648200
473;[-0.04374893];[0.16608538];[0.02448882];[0.46750337];[0.06506535];-0.03581461;-1.5643446504023104;[-0.09471036];[-0.07943758];[-0.04188921];[-0.04610344];[-0.02522807];-0.09523809999999999;-9.876883405951377;192287108585900
474;[-0.03487881];[0.13228195];[0.04677808];[0.16099394];[0.03971332];-0.022471909999999998;-1.5643446504023104;[-0.09681772];[-0.040944];[-0.04261];[0.13623158];[-0.00051576];-0.09593838;-9.876883405951377;192287175647000
475;[-0.02425138];[0.12323252];[0.03905905];[-0.0009156];[0.05428915];-0.018258430000000003;-1.5643446504023104;[-0.09710555];[-0.01089453];[-0.03111178];[0.2496139];[0.01273224];-0.09523809999999999;-9.876883405951377;192287242619600
476;[-0.01770544];[0.09268272];[0.04647443];[0.06724825];[0.0345839];-0.014747189999999999;-1.5643446504023104;[-0.09610095];[0.00867109];[-0.01672638];[0.24285589];[0.01910445];-0.09383754;-9.876883405951377;192287309785900
477;[-0.01381565];[0.05786015];[0.04657278];[-0.09428855];[0.01528178];-0.012640450000000001;-1.5643446504023104;[-0.09443729];[0.01858489];[-0.00418506];[0.19288503];[0.02080837];-0.09033613000000001;-9.876883405951377;192287376849800
478;[-0.01188031];[0.02853254];[0.03768092];[-0.18311115];[0.00281576];-0.0133427;-1.5643446504023104;[-0.09147169];[0.02894295];[0.0020377];[0.15244461];[0.02881979];-0.08963585;-9.876883405951377;192287443944500
479;[-0.01223582];[0.00163756];[0.0280082];[-0.20565757];[-0.01108203];-0.014044939999999999;-1.5643446504023104;[-0.08965218];[0.0242389];[0.01278663];[0.13443622];[0.02065723];-0.09033613000000001;-9.876883405951377;192287510835700
480;[-0.01342808];[-0.01401598];[0.01476223];[-0.21355078];[-0.01540059];-0.015449440000000002;-1.5643446504023104;[-0.08953536];[0.00768736];[0.0199169];[0.011302];[0.00476682];-0.09173669000000001;-9.876883405951377;192287578326500
481;[-0.01507445];[-0.02094802];[0.00361671];[-0.15819814];[-0.01584203];-0.01615169;-1.5643446504023104;[-0.09078659];[-0.01072317];[0.01840488];[-0.10849086];[-0.00855758];-0.09313725;-9.876883405951377;192287645102800
482;[-0.01626693];[-0.01831536];[-0.00514539];[-0.09090037];[-0.01021521];-0.01685393;-1.5643446504023104;[-0.09257764];[-0.02209881];[0.01011013];[-0.15328031];[-0.01347631];-0.09383754;-9.876883405951377;192287712096000
483;[-0.01705328];[-0.01224795];[-0.00856478];[-0.01560123];[-0.00515886];-0.01685393;-1.5643446504023104;[-0.09394747];[-0.02215429];[-1.98814826e-05];[-0.11368012];[-0.00890792];-0.09593838;-9.876883405951377;192287779265500
484;[-0.0171952];[-0.00434714];[-0.00884307];[0.02878024];[0.00033013];-0.01685393;-1.5643446504023104;[-0.09571156];[-0.02235644];[-0.00335381];[-0.04624123];[-0.00987724];-0.09593838;-9.876883405951377;192287846536400
485;[-0.01705267];[0.00120151];[-0.00613262];[0.05294427];[0.00261328];-0.014747189999999999;-1.5643446504023104;[-0.09639498];[-0.01429583];[-0.00783036];[-0.01956116];[-0.00198362];-0.09593838;-9.876883405951377;192287913410900
486;[-0.01559354];[0.01199459];[-0.00582217];[0.06659263];[0.01236846];-0.014747189999999999;-1.5643446504023104;[-0.09643878];[-0.00511567];[-0.00790926];[0.04657366];[0.00424941];-0.09593838;-9.876883405951377;192287980469700
487;[-0.01475158];[0.01253737];[0.00114286];[0.09370755];[0.0089311];-0.0133427;-1.5643446504023104;[-0.09622755];[0.00070471];[-0.00433318];[0.07028857];[0.00624751];-0.09453782000000001;-9.876883405951377;192288047655600
488;[-0.01359187];[0.01308288];[0.00381281];[0.04230527];[0.00962372];-0.0133427;-1.5643446504023104;[-0.09516755];[0.00821416];[-0.00238241];[0.06938866];[0.01202173];-0.09453782000000001;-9.876883405951377;192288115224200
489;[-0.01313432];[0.00793264];[0.00704938];[0.02275059];[0.00437818];-0.017556179999999998;-1.5643446504023104;[-0.09457251];[0.00794533];[0.00317589];[0.07388893];[0.0088162];-0.09523809999999999;-9.876883405951377;192288181834400
490;[-0.01565683];[-0.01555697];[0.01363842];[-0.06775927];[-0.02028755];-0.014747189999999999;-1.5643446504023104;[-0.09479919];[0.00077775];[0.00754762];[0.01334349];[0.00075602];-0.09453782000000001;-9.876883405951377;192288248706300
491;[-0.01556254];[-0.00973469];[-0.00196288];[-0.1562717];[-0.00431937];-0.014747189999999999;-1.5643446504023104;[-0.09466302];[-0.00095413];[0.00483372];[-0.03419858];[0.00195468];-0.09453782000000001;-9.876883405951377;192288315735300
492;[-0.01529571];[-0.00176086];[-0.00641887];[0.01312923];[0.00337921];-0.015449440000000002;-1.5643446504023104;[-0.09463722];[-0.00171284];[0.00311541];[-0.01045224];[0.00235092];-0.09383754;-9.876883405951377;192288382955500
493;[-0.01540155];[-1.31808746e-05];[-0.00269669];[0.05069269];[0.00164848];-0.01615169;-1.5643446504023104;[-0.09421357];[0.0010057];[0.00130262];[0.00684577];[0.00603076];-0.09453782000000001;-9.876883405951377;192288450104100
494;[-0.01584588];[-0.00253226];[0.00048613];[0.01159479];[-0.00262356];-0.015449440000000002;-1.5643446504023104;[-0.09439546];[-0.00150266];[0.00356187];[0.02117764];[0.00222267];-0.09453782000000001;-9.876883405951377;192288516917000
495;[-0.01567187];[-0.0001202];[-0.00133704];[-0.01154361];[0.00089277];-0.015449440000000002;-1.5643446504023104;[-0.09454208];[-0.00300656];[0.00328665];[-0.00859496];[0.00137465];-0.09523809999999999;-9.876883405951377;192288583979500
496;[-0.01553257];[0.00126045];[-0.00099334];[0.01511296];[0.00162263];-0.014747189999999999;-1.5643446504023104;[-0.09505967];[-0.00606713];[0.00322261];[-0.01458672];[-0.00152879];-0.09523809999999999;-9.876883405951377;192288651261400
497;[-0.01501998];[0.00427247];[-0.000983];[0.02050391];[0.00452518];-0.01685393;-1.5643446504023104;[-0.09533918];[-0.00578218];[0.00103811];[-0.02188738];[-0.00014187];-0.09383754;-9.876883405951377;192288718289700
498;[-0.01602179];[-0.00472382];[0.00433101];[0.00564448];[-0.00706064];-0.015449440000000002;-1.5643446504023104;[-0.09458035];[0.00201605];[-0.00244005];[0.01539263];[0.00874365];-0.09523809999999999;-9.876883405951377;192288785204100
499;[-0.01581532];[-0.00183248];[-0.00098355];[-0.05194658];[-0.00042873];-0.015449440000000002;-1.5643446504023104;[-0.09492027];[-0.00117972];[0.00282339];[0.05066364];[0.00195664];-0.09453782000000001;-9.876883405951377;192288852099400
500;[-0.01563191];[0.00080828];[-0.00199963];[0.01159467];[0.00186506];-0.015449440000000002;-1.5643446504023104;[-0.09473748];[-0.0004667];[0.00225047];[-0.00277909];[0.00366076];-0.09453782000000001;-9.876883405951377;192288919462600
501;[-0.01549121];[0.00179465];[-0.00070173];[0.02119959];[0.00182213];-0.014747189999999999;-1.5643446504023104;[-0.09464247];[-0.00045832];[0.00231209];[0.01066123];[0.00362188];-0.09523809999999999;-9.876883405951377;192288986339800
502;[-0.01499206];[0.00433488];[-0.00055667];[0.01882104];[0.00433754];-0.014747189999999999;-1.5643446504023104;[-0.09503085];[-0.00381236];[0.00366831];[0.0006829];[-0.00024978];-0.09523809999999999;-9.876883405951377;192289053299800
503;[-0.01473291];[0.00380134];[0.00138553];[0.02472768];[0.00291435];-0.014747189999999999;-1.5643446504023104;[-0.0952741];[-0.00464814];[0.00217321];[-0.02022652];[1.19875289e-05];-0.09523809999999999;-9.876883405951377;192289120370300
504;[-0.01465478];[0.00180055];[0.00251447];[0.00401213];[0.00095756];-0.015449440000000002;-1.5643446504023104;[-0.09538203];[-0.00366197];[0.00067034];[-0.00633822];[0.00148746];-0.09523809999999999;-9.876883405951377;192289187678500
505;[-0.01510542];[-0.00295828];[0.00333342];[-0.0180605];[-0.00356974];-0.015449440000000002;-1.5643446504023104;[-0.09539255];[-0.00219969];[0.00029938];[0.00906325];[0.00267043];-0.09453782000000001;-9.876883405951377;192289254655500
506;[-0.01540516];[-0.00423191];[0.00092449];[-0.03722547];[-0.00311114];-0.015449440000000002;-1.5643446504023104;[-0.09493375];[0.00172644];[-0.00030771];[0.02295842];[0.00652077];-0.09523809999999999;-9.876883405951377;192289321685600
507;[-0.01554172];[-0.00303196];[-0.00119857];[-0.01668111];[-0.0011593];-0.015449440000000002;-1.5643446504023104;[-0.09507741];[-0.00049465];[0.00291048];[0.03089624];[0.00239323];-0.09453782000000001;-9.876883405951377;192289388833000
508;[-0.01555524];[-0.00115893];[-0.00175454];[0.00425935];[0.00039872];-0.015449440000000002;-1.5643446504023104;[-0.09478144];[0.00066946];[0.0020969];[0.00168648];[0.00451397];-0.09453782000000001;-9.876883405951377;192289455871600
509;[-0.01551155];[0.00017707];[-0.0012021];[0.01302318];[0.00100007];-0.015449440000000002;-1.5643446504023104;[-0.09463055];[0.00047727];[0.00259834];[0.01546183];[0.004099];-0.09523809999999999;-9.876883405951377;192289522955500
510;[-0.01546398];[0.00065592];[-0.0003642];[0.01137963];[0.00087235];-0.014747189999999999;-1.5643446504023104;[-0.09500431];[-0.00336542];[0.00416992];[0.00065525];[-0.00021798];-0.09523809999999999;-9.876883405951377;192289589835400
511;[-0.01501131];[0.0034333];[-0.0008371];[0.01307876];[0.00388134];-0.015449440000000002;-1.5643446504023104;[-0.09525498];[-0.00461853];[0.00258449];[-0.02328257];[-0.00018848];-0.09593838;-9.876883405951377;192289656648300
512;[-0.01518761];[0.00050201];[0.00193867];[0.01743536];[-0.00048844];-0.014747189999999999;-1.5643446504023104;[-0.09580069];[-0.00672862];[0.00192063];[-0.0171008];[-0.00213006];-0.09523809999999999;-9.876883405951377;192289724007000
513;[-0.01491871];[0.00149811];[0.00060574];[-0.00965219];[0.00180054];-0.015449440000000002;-1.5643446504023104;[-0.09563987];[-0.0026929];[-0.00119967];[-0.00973583];[0.00316569];-0.09523809999999999;-9.876883405951377;192289791148300
514;[-0.01520627];[-0.00145244];[0.00186119];[0.00050171];[-0.00176143];-0.014747189999999999;-1.5643446504023104;[-0.09545969];[4.34484045e-05];[-0.00062696];[0.03029162];[0.00468168];-0.09453782000000001;-9.876883405951377;192289858040800
515;[-0.01497405];[0.00041285];[-0.00026604];[-0.01341836];[0.00153879];-0.014747189999999999;-1.5643446504023104;[-0.0948999];[0.00362738];[0.00012595];[0.03641826];[0.00756702];-0.09453782000000001;-9.876883405951377;192289925061600
516;[-0.01482455];[0.00125763];[-6.6385275e-05];[0.01279135];[0.00198231];-0.014747189999999999;-1.5643446504023104;[-0.09459416];[0.00330092];[0.00285535];[0.03917714];[0.00585997];-0.09523809999999999;-9.876883405951377;192289992308600
517;[-0.01474683];[0.00102255];[0.0007731];[0.01016091];[0.00136831];-0.014747189999999999;-1.5643446504023104;[-0.09492135];[-0.00187599];[0.00550098];[0.00486152];[6.90057697e-05];-0.09523809999999999;-9.876883405951377;192290059341500
518;[-0.01472639];[0.00031617];[0.00115953];[0.00193835];[0.00068495];-0.014747189999999999;-1.5643446504023104;[-0.09519191];[-0.00441387];[0.00383565];[-0.03093315];[-0.00072185];-0.09523809999999999;-9.876883405951377;192290126140600
