;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
30;[0.00854319];[-0.00014558];[0.00179779];[0.02775514];[0.0061789];0.00880282;0.0;[-0.00355678];[0.00070127];[-0.00206444];[-0.00581828];[-0.00204146];-0.00352113;0.0;374009724525200
31;[0.00868231];[-0.0001238];[0.00313106];[0.02500506];[0.00604577];0.00880282;0.0;[-0.00350448];[0.00145776];[-0.00204942];[7.68720819e-05];[-0.00167859];-0.00352113;0.0;374009791539100
32;[0.0087305];[-0.00110132];[0.00411222];[0.01596506];[0.0054761];0.00880282;0.0;[-0.00346515];[0.00170721];[-0.00170459];[0.00047231];[-0.00160288];-0.00352113;0.0;374009858685600
33;[0.00871986];[-0.0022178];[0.00442435];[0.00851111];[0.00492259];0.00880282;0.0;[-0.00344525];[0.00159571];[-0.00137311];[-0.00155081];[-0.00169617];-0.00352113;0.0;374009925652500
34;[0.00868609];[-0.00297413];[0.0042326];[0.00527658];[0.00459955];0.00880282;0.0;[-0.00344194];[0.00134261];[-0.0011965];[-0.00379385];[-0.00183598];-0.00352113;0.0;374009992853600
35;[0.00865486];[-0.0032551];[0.00384355];[0.00564431];[0.00452176];0.00880282;0.0;[-0.00344788];[0.00111588];[-0.00117479];[-0.0051841];[-0.0019436];-0.00352113;0.0;374010059877400
36;[0.00863754];[-0.00318694];[0.00349988];[0.00777137];[0.00459928];0.00880282;0.0;[-0.00345601];[0.00099078];[-0.0012429];[-0.00556412];[-0.00199243];-0.00352113;0.0;374010127354900
37;[0.0086342];[-0.00296952];[0.00331078];[0.00998841];[0.05176354];0.00880282;-6.0;[-0.00346198];[0.00096583];[-0.00133098];[-0.00527059];[0.04504597];-0.00352113;-6.0;374010194416900
38;[0.00861292];[-0.00585327];[0.01954069];[0.26614382];[0.03848697];0.00880282;-5.0;[-0.00349089];[-0.00209011];[0.01487292];[0.25000139];[0.03953268];-0.00352113;-6.0;374010261651500
39;[0.00843647];[-0.01313826];[0.02733058];[0.09371566];[0.02626256];0.00880282;-4.0;[-0.0036789];[-0.00995956];[0.0252944];[0.12001595];[0.03420337];-0.00352113;-6.0;374010328631700
40;[0.0081538];[-0.0184764];[0.02538266];[0.00536992];[0.01645847];0.00880282;-3.0;[-0.00400149];[-0.01712325];[0.0277237];[0.052819];[0.03043772];-0.00352113;-6.0;374010395866300
41;[0.00749938];[-0.02225337];[0.02002779];[-0.03224522];[0.00756522];0.00809859;-2.0;[-0.00474668];[-0.02389021];[0.02718232];[0.02517174];[0.02696483];-0.00422535;-6.0;374010462793500
42;[0.00675427];[-0.02256329];[0.01291646];[-0.04761345];[0.00045169];0.00739437;-1.0;[-0.00606118];[-0.03074949];[0.02571117];[0.00871127];[0.02314622];-0.0056338;-6.0;374010529773700
43;[0.00521496];[-0.02558456];[0.00785653];[-0.06217298];[-0.00892993];0.00528169;0.0;[-0.00845188];[-0.04086035];[0.02489926];[-0.01442807];[0.0168917];-0.0084507;-6.0;374010596913500
44;[0.00371141];[-0.02478203];[0.0007849];[-0.08190467];[-0.01612173];0.00387324;1.0;[-0.01092343];[-0.04585515];[0.02058836];[-0.03242799];[0.0135818];-0.01056338;-6.0;374010663839000
45;[0.00232978];[-0.0209812];[-0.00641858];[-0.0819065];[-0.02189166];0.00246479;2.0;[-0.01327868];[-0.04608845];[0.01551794];[-0.01915692];[0.01257764];-0.01267606;-6.0;374010730605400
46;[0.00021702];[-0.02158988];[-0.01041836];[-0.09334771];[-0.03083932];-0.00035211;3.0;[-0.01760185];[-0.05814298];[0.017027];[-0.03383004];[0.00343334];-0.01830986;-6.0;374010797686200
47;[-0.00102912];[-0.01423789];[-0.01833359];[-0.1045063];[-0.03469996];-0.00105634;4.0;[-0.02174911];[-0.06289813];[0.01227994];[-0.07328069];[-0.00091855];-0.021830989999999998;-6.0;374010864808100
48;[-0.00213966];[-0.00700233];[-0.02380264];[-0.08994641];[-0.03907984];-0.00246479;5.0;[-0.02518033];[-0.05865495];[0.00492461];[-0.05165559];[-0.00030062];-0.024647890000000002;-6.0;374010932055600
49;[-0.00321427];[-0.00127031];[-0.02746779];[-0.09417617];[-0.04440634];-0.00387324;6.0;[-0.03065555];[-0.06841771];[0.00657506];[-0.0527976];[-0.00937639];-0.031690140000000006;-6.0;374010998923300
50;[-0.00303952];[0.0115725];[-0.03378642];[-0.08842783];[-0.03717713];-0.00316901;6.0;[-0.03519862];[-0.06694097];[0.00055597];[-0.08280332];[-0.01097334];-0.035211269999999996;-6.0;374011065831200
51;[-0.00133001];[0.02993737];[-0.03688278];[-0.00468116];[-0.02713134];-0.00105634;6.0;[-0.04075784];[-0.07117422];[-0.00122608];[-0.07804407];[-0.0169337];-0.041549300000000004;-6.0;374011132891200
52;[0.0006737];[0.04127614];[-0.03229972];[0.04422801];[-0.02145166];0.00035211;6.0;[-0.04432104];[-0.05884742];[-0.00998763];[-0.06142361];[-0.0124296];-0.043661969999999994;-6.0;374011200056300
53;[0.00300292];[0.04741911];[-0.02602471];[0.04083568];[-0.01803811];0.00246479;6.0;[-0.04707147];[-0.04483024];[-0.01371477];[0.00724582];[-0.0076902];-0.04647887;-6.0;374011267165300
54;[0.00916803];[0.07468795];[-0.02955843];[0.08788693];[-0.000212];0.010915490000000002;6.0;[-0.05077145];[-0.04362292];[-0.00910038];[0.01467545];[-0.01097205];-0.051408449999999994;-6.0;374011334139900
55;[0.01486063];[0.08510029];[-0.01956237];[0.15998178];[0.00678997];0.015140849999999999;6.0;[-0.05264636];[-0.03172082];[-0.01165819];[0.00340669];[-0.00645803];-0.052112679999999995;-6.0;374011401172600
56;[0.01986704];[0.08214301];[-0.00690262];[0.11749942];[0.00702692];0.0193662;6.0;[-0.05349431];[-0.01816042];[-0.01241735];[0.04630044];[-0.00092724];-0.0528169;-6.0;374011468252500
