;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0];[0];[0];[0];0;0.00316901;0.0;[0];[0];[0];[0];0;-0.00211268;0.0;195838091450900
1;[0.00192307];[0.01311486];[-0.00478609];[0.0339438];[0.01539111];0.00246479;0.0;[-0.00128205];[-0.00874327];[0.00319073];[-0.02262927];[-0.01026077];-0.00211268;0.0;195838158297700
2;[0.00260314];[0.01162853];[0.00309919];[0.1028269];[0.00916974];0.00246479;0.0;[-0.00202033];[-0.00969532];[-0.00135708];[-0.07358018];[-0.00839333];-0.00211268;0.0;195838225385500
3;[0.00278939];[0.00536896];[0.00746465];[0.01676058];[0.00261332];0.00246479;0.0;[-0.00230856];[-0.00573382];[-0.00527802];[-0.0275248];[-0.00360739];-0.00211268;0.0;195838293035600
4;[0.00268668];[-0.00034957];[0.00679269];[-0.03341476];[-0.00086865];0.00246479;0.0;[-0.00230413];[-0.00104113];[-0.00570136];[0.01616];[-0.00022254];-0.00140845;0.0;195838359648700
5;[0.00250816];[-0.00319387];[0.00396623];[-0.04022325];[-0.00126314];0.00246479;0.0;[-0.00175679];[0.00481233];[-0.00497471];[0.0379498];[0.00421291];-0.00140845;0.0;195838426468100
6;[0.00238122];[-0.00342321];[0.00143184];[-0.02315554];[-5.8033445e-05];0.00246479;0.0;[-0.0013994];[0.00593568];[-0.00137133];[0.04672091];[0.00301262];-0.00140845;0.0;195838493751800
7;[0.00233774];[-0.00236996];[0.00019876];[-0.00296778];[0.00131035];0.00316901;0.0;[-0.0012496];[0.00409212];[0.00122158];[0.01608549];[0.00037664];-0.00211268;0.0;195838560564700
8;[0.00277988];[0.0016808];[-0.00093823];[0.01681165];[0.00553282];0.00316901;0.0;[-0.00167636];[-0.00126037];[0.00276098];[-0.01757326];[-0.00493801];-0.00211268;0.0;195838627725400
9;[0.00306019];[0.00263843];[0.00106016];[0.03673756];[0.0050814];0.00316901;0.0;[-0.0019848];[-0.00317843];[0.00040102];[-0.04383505];[-0.0049382];-0.00211268;0.0;195838694730600
10;[0.00318321];[0.00143379];[0.00287355];[0.01876437];[0.00329224];0.00246479;0.0;[-0.00214091];[-0.00234184];[-0.00199434];[-0.02500441];[-0.00308421];-0.00211268;0.0;195838761819900
11;[0.00276543];[-0.00322006];[0.0043577];[-0.00723959];[-0.00152381];0.00316901;0.0;[-0.00216979];[-0.00053425];[-0.00283764];[-0.00258382];[-0.00141598];-0.00211268;0.0;195838828902600
