;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
28;[0.0306785];[0.05478309];[-0.00158127];[0.10660659];[0.02496953];0.03125;3.0685980275235423;[-0.0172998];[0.0234542];[-0.03987444];[-0.06513207];[-0.04409751];-0.01736111;6.2915583240941695;370763838103500
29;[0.03536607];[0.05839174];[0.0058395];[0.15624038];[0.03851269];0.03611111;1.8117333157176452;[-0.01438393];[0.04632208];[-0.04388292];[-0.00477198];[-0.03446887];-0.013888890000000001;6.761480784023478;370763905188500
30;[0.03851495];[0.0465766];[0.01996961];[0.1568091];[0.04317697];0.038194439999999996;0.4882953162088766;[-0.01095335];[0.06182661];[-0.04004747];[0.04687547];[-0.02736524];-0.01111111;6.982948351818769;370763972290100
31;[0.03979225];[0.02341759];[0.03305008];[0.08977059];[0.04177587];0.038888889999999995;-0.8530854038360316;[-0.00754979];[0.06780416];[-0.03216556];[0.04387039];[-0.0232268];-0.00833333;6.947823061489254;370764039413900
32;[0.04005605];[0.00124972];[0.03878081];[0.02797662];[0.04121296];0.03958333;-2.1631189606246313;[-0.00399685];[0.06933619];[-0.02530573];[0.02166476];[-0.01873282];-0.00486111;6.6573956140660755;370764106419700
33;[0.03998616];[-0.013719];[0.03878068];[0.01912614];[0.04399376];0.04027778;-3.393667341724359;[-0.00049257];[0.06759556];[-0.0193633];[0.00956502];[-0.01371105];-0.00138889;6.122337949975771;370764173567900
34;[0.03873175];[-0.02955592];[0.04017835];[0.03109853];[0.04412255];0.038888889999999995;-4.499513267805775;[0.00628438];[0.0870383];[-0.02250589];[0.06675865];[0.00686231];0.007638890000000001;5.362311101832846;370764240498400
35;[0.03698222];[-0.04144553];[0.03986623];[0.03323515];[0.04474253];0.0375;-5.440021730198796;[0.01197748];[0.08898083];[-0.01097215];[0.14925684];[0.01715654];0.01180556;4.405242737348861;370764307658000
36;[0.03430576];[-0.05377264];[0.04028856];[0.0353596];[0.04272441];0.03472222;-6.180633150012489;[0.0171424];[0.08210618];[0.00210441];[0.1285254];[0.02433966];0.016666669999999998;3.286300939501235;370764374622900
37;[0.02914406];[-0.07699897];[0.04406294];[-0.00761748];[0.03149691];0.02847222;-6.694133291741249;[0.02440114];[0.08872669];[0.00613172];[0.14634059];[0.04192102];0.02569444;2.046601933059156;370764441702000
38;[0.02355837];[-0.09196017];[0.03941281];[-0.06589371];[0.02349686];0.02361111;-6.961653267577913;[0.03034153];[0.08078917];[0.01919603];[0.18889166];[0.05053932];0.030555560000000002;0.7316992428735761;370764508709600
39;[0.01764104];[-0.09979301];[0.03163705];[-0.07005956];[0.01691141];0.01805556;-6.973362886642219;[0.0353455];[0.06590057];[0.0316782];[0.15801779];[0.05583259];0.03541667;-0.6100901992336056;370764575878500
40;[0.00757509];[-0.12939769];[0.03358478];[-0.12965253];[-0.00660143];0.00555556;-6.728831871568232;[0.04149791];[0.06231975];[0.03564648];[0.16184712];[0.06856904];0.04305556;-1.9294614907189929;370764642844500
41;[-0.0017699];[-0.1384499];[0.01953541];[-0.2165101];[-0.01885142];-0.00208333;-6.237045669318575;[0.04506042];[0.04088433];[0.0483856];[0.16863392];[0.068823];0.04513889;-3.1779334981768264;370764709956800
42;[-0.00980171];[-0.12897503];[0.00108555];[-0.17110427];[-0.0230056];-0.00902778;-5.516075275247054;[0.04710678];[0.0159082];[0.05670423];[0.10174156];[0.06648533];0.04722222;-4.309630327279607;370764776998100
