;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0];[0];[0];[0];0;0.01161972;0.0;[0];[0];[0];[0];0;-0.00140449;0.0;196019719202500
1;[0.00705127];[0.0480879];[-0.01754901];[0.12446078];[0.05643416];0.01161972;0.0;[-0.0008523];[-0.00581244];[0.00212117];[-0.01504373];[-0.00682127];-0.00140449;0.0;196019786118800
2;[0.01111182];[0.05332414];[0.00746394];[0.40469029];[0.04616326];0.010915490000000002;0.0;[-0.0013431];[-0.00644536];[-0.00090218];[-0.04891542];[-0.00557981];-0.00280899;0.0;196019853493000
3;[0.0122697];[0.02862151];[0.03009267];[0.14384302];[0.01642035];0.01161972;0.0;[-0.00238701];[-0.00962427];[-0.0013876];[-0.03334207];[-0.00921948];-0.00140449;0.0;196019920674100
4;[0.01242661];[0.00540885];[0.0298415];[-0.10586354];[0.00184644];0.010915490000000002;0.0;[-0.00202257];[-0.00132505];[-0.00681358];[-0.02312892];[0.00109352];-0.00070225;0.0;196019987982300
5;[0.01148932];[-0.01203233];[0.02126773];[-0.15942766];[-0.00618447];0.00950704;0.0;[-0.00121746];[0.00680149];[-0.00626728];[0.05835329];[0.00711922];-0.00070225;0.0;196020054467600
6;[0.00987395];[-0.02236778];[0.01156398];[-0.14711849];[-0.00969157];0.00880282;0.0;[-0.00070352];[0.00813986];[-0.00104272];[0.0682534];[0.00518294];-0.00070225;0.0;196020121592300
7;[0.00860141];[-0.02230414];[0.00195399];[-0.09903017];[-0.0053378];0.00950704;0.0;[-0.00049518];[0.00530953];[0.00258702];[0.02321422];[0.00132496];-0.00140449;0.0;196020188513600
8;[0.00857768];[-0.01140688];[-0.00512241];[-0.00714525];[0.0067063];0.01021127;0.0;[-0.00092719];[-0.00115541];[0.00420839];[-0.0214399];[-0.00477906];-0.00210674;0.0;196020255987600
9;[0.00930174];[0.00022619];[-0.00456972];[0.08915839];[0.0151036];0.010915490000000002;0.0;[-0.00169177];[-0.00665143];[0.00246504];[-0.05834472];[-0.00840311];-0.00140449;0.0;196020322853900
10;[0.01029876];[0.00699657];[0.00077983];[0.11682161];[0.01764664];0.01161972;0.0;[-0.0016934];[-0.00338906];[-0.00299771];[-0.04674829];[-0.0023624];-0.00140449;0.0;196020389739300
11;[0.01125926];[0.00839104];[0.00640779];[0.09275169];[0.01642597];0.01232394;0.0;[-0.0015847];[0.00019179];[-0.00392623];[0.01160483];[0.00052736];-0.00210674;0.0;196020457249500
12;[0.01207108];[0.00661509];[0.00983027];[0.05451505];[0.01425814];0.01161972;0.0;[-0.00187602];[-0.00082461];[-0.00137657];[0.01695563];[-0.00241782];-0.00140449;0.0;196020523970200
13;[0.01190195];[-0.0017041];[0.01298866];[0.01241716];[0.00605229];0.010915490000000002;0.0;[-0.00160297];[0.00193257];[-0.00233546];[-0.0014];[0.00085912];-0.00140449;0.0;196020591052100
14;[0.01118474];[-0.0099373];[0.01173054];[-0.04566188];[0.00031774];0.01021127;0.0;[-0.00142073];[0.00285427];[-0.00129981];[0.01779238];[0.00090734];-0.00070225;0.0;196020658397200
15;[0.01027781];[-0.0145018];[0.00756772];[-0.06025886];[-0.00138035];0.01021127;0.0;[-0.00090602];[0.00522178];[-0.00114038];[0.01622855];[0.00329647];-0.00070225;0.0;196020725810600
16;[0.00982889];[-0.01234016];[0.00239539];[-0.03369884];[0.0028767];0.010915490000000002;0.0;[-0.00064521];[0.00450632];[0.00078155];[0.02127383];[0.0017612];-0.00070225;0.0;196020792493600
17;[0.01015957];[-0.00478041];[-0.00067057];[0.02554639];[0.01050025];0.01161972;0.0;[-0.00057087];[0.00239163];[0.00183529];[0.00022578];[-0.00023198];-0.00140449;0.0;196020859340400
18;[0.0109198];[0.00220845];[0.0007782];[0.07761213];[0.01528924];0.01161972;0.0;[-0.00102546];[-0.00240108];[0.00257408];[-0.02150618];[-0.00473911];-0.00140449;0.0;196020926584600
19;[0.01138426];[0.00285275];[0.0056829];[0.07936195];[0.0130619];0.01161972;0.0;[-0.00132721];[-0.00365794];[0.00011553];[-0.04009833];[-0.00424266];-0.00140449;0.0;196020993693800
20;[0.01155771];[-9.25335357e-05];[0.00878904];[0.03599788];[0.00940864];0.010915490000000002;0.0;[-0.0014639];[-0.00242664];[-0.00202166];[-0.01911769];[-0.00226221];-0.00140449;0.0;196021060827000
21;[0.01111049];[-0.00634854];[0.0101059];[-0.00447992];[0.00360604];0.010915490000000002;0.0;[-0.00147665];[-0.00053053];[-0.00256959];[0.00200167];[-0.00069299];-0.00070225;0.0;196021127518300
22;[0.01077272];[-0.00866869];[0.00725166];[-0.03089982];[0.0036008];0.010915490000000002;0.0;[-0.00100596];[0.00372017];[-0.00306361];[0.01826895];[0.00331709];-0.00070225;0.0;196021194884300
23;[0.0105975];[-0.00782299];[0.00445733];[-0.00889554];[0.00567483];0.010915490000000002;0.0;[-0.00071253];[0.00451337];[-0.00070387];[0.03346322];[0.00256178];-0.00140449;0.0;196021261784600
24;[0.01056323];[-0.00582618];[0.00344083];[0.01679305];[0.00756296];0.01161972;0.0;[-0.00101626];[0.00015563];[0.00225131];[0.00472255];[-0.00284721];-0.00140449;0.0;196021328861900
25;[0.01103138];[-0.00129445];[0.00277963];[0.03711727];[0.01185392];0.010915490000000002;0.0;[-0.00125881];[-0.00206699];[0.00108281];[-0.0318329];[-0.00369267];-0.00140449;0.0;196021395871800
26;[0.01090421];[-0.00319233];[0.00625729];[0.04672108];[0.00779906];0.01161972;0.0;[-0.00140232];[-0.00200612];[-0.00088218];[-0.02362616];[-0.00259085];-0.00140449;0.0;196021463166200
27;[0.01121578];[-0.00195515];[0.00569926];[0.0160686];[0.00983687];0.01161972;0.0;[-0.00144749];[-0.0008318];[-0.00187311];[-0.00640653];[-0.00126876];-0.00140449;0.0;196021529957400
28;[0.01137341];[-0.00223462];[0.0063502];[0.02793342];[0.00928302];0.010915490000000002;0.0;[-0.00143141];[0.00032942];[-0.00182886];[0.00444441];[-0.00051221];-0.00140449;0.0;196021597003600
29;[0.01099703];[-0.00621366];[0.00795732];[0.01166681];[0.00485041];0.010915490000000002;0.0;[-0.00139659];[0.00095113];[-0.00129684];[0.006585];[-0.00037997];-0.00070225;0.0;196021664023300
30;[0.01074178];[-0.00754757];[0.00632295];[-0.01286083];[0.00485203];0.01021127;0.0;[-0.00094394];[0.00394742];[-0.00184177];[0.01107625];[0.0028146];-0.00280899;0.0;196021731340800
31;[0.01019012];[-0.00969017];[0.00560402];[-0.00646958];[0.0029132];0.010915490000000002;-7.5;[-0.0019668];[-0.00464582];[0.00312215];[0.00142902];[-0.00831135];-0.00140449;-7.5;196021798504000
32;[0.01035045];[-0.00561874];[0.0024338];[0.00131373];0.10471975511965978;0.01161972;-6.5;[-0.00175691];[-0.0013274];[-0.00219651];[-0.05224494];[0.10114042];-0.00140449;-7.5;196021865300300
33;[0.01090483];[-0.00626936];[0.03529628];[0.57177649];[0.06943395];0.010915490000000002;-5.5;[-0.00161907];[-0.00517965];[0.03242958];[0.56756189];[0.06878948];-0.00140449;-7.5;196021932851700
34;[0.01048994];[-0.02250542];[0.05113554];[0.15602802];[0.0363731];0.01161972;-4.5;[-0.0018661];[-0.01992148];[0.04886245];[0.16930573];[0.05017483];-0.00140449;-7.5;196021999275600
35;[0.01029197];[-0.03039962];[0.04242433];[-0.05444639];[0.02450165];0.00950704;-3.5;[-0.00239942];[-0.03161337];[0.04715367];[0.022371];[0.04328071];-0.00280899;-7.5;196022066467300
36;[0.0087951];[-0.03929371];[0.03291971];[-0.07359328];[0.00874512];0.00880282;-2.5;[-0.00373986];[-0.04164057];[0.04244896];[0.00288218];[0.03730336];-0.00421348;-7.5;196022133729300
37;[0.00761342];[-0.03787647];[0.01921798];[-0.09301184];[0.00401541];0.00457746;-1.5;[-0.00534566];[-0.04675345];[0.03633736];[0.00285482];[0.03541619];-0.00983146;-7.5;196022200859200
38;[0.00469948];[-0.04464113];[0.01348621];[-0.07893075];[-0.01496908];0.00176056;-0.5;[-0.00948257];[-0.06472985];[0.03738493];[-0.01467911];[0.01572187];-0.014044939999999999;-7.5;196022267603200
39;[0.0017126];[-0.04579442];[0.00262726];[-0.14685388];[-0.02554582];-0.00316901;0.5;[-0.01411967];[-0.07631291];[0.02941547];[-0.11392985];[0.00707577];-0.022471909999999998;-7.5;196022334696300
