;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0];[0];[0];[0];0;0.01373239;0.0;[0];[0];[0];[0];0;0.00140845;0.0;533983825587900
1;[0.00833332];[0.05683113];[-0.02073972];[0.14708994];[0.07073945];0.01373239;0.0;[0.0008547];[0.00582883];[-0.00212715];[0.01508615];[0.00725533];0.00140845;0.0;533983892451800
2;[0.01312987];[0.06275361];[0.01021982];[0.50017446];[0.05642115];0.01373239;0.0;[0.00134665];[0.00643627];[0.00104819];[0.05129994];[0.00578678];0.00140845;0.0;533983959526200
3;[0.0149881];[0.03643478];[0.03601507];[0.18037353];[0.02304218];0.01373239;0.0;[0.00153724];[0.0037369];[0.00369385];[0.01849985];[0.0023633];0.00140845;0.0;533984026539600
4;[0.01493941];[0.005732];[0.03790173];[-0.11553786];[0.00036298];0.01373239;0.0;[0.00153225];[0.0005879];[0.00388736];[-0.01185004];[3.72289797e-05];0.00140845;0.0;533984093850200
5;[0.01415222];[-0.01305349];[0.02532049];[-0.20609684];[-0.00568384];0.010915490000000002;0.0;[0.00145151];[-0.00133882];[0.00259697];[-0.02113813];[-0.00058296];0.00070423;0.0;533984160856700
6;[0.01172943];[-0.02943801];[0.0156412];[-0.17522169];[-0.01559985];0.01021127;0.0;[0.00095099];[-0.00473802];[0.00223146];[-0.02241988];[-0.00373935];0.00070423;0.0;533984227770300
7;[0.00998719];[-0.02982374];[0.00219421];[-0.15037668];[-0.00903274];0.00880282;0.0;[0.00067107];[-0.00465778];[-0.00019311];[-0.02977633];[-0.00226071];0.00070423;0.0;533984294989700
8;[0.00850616];[-0.0248362];[-0.00432357];[-0.0420485];[-0.00369367];0.00809859;0.0;[0.00057586];[-0.0027213];[-0.00169706];[-0.00558964];[-3.48078701e-05];-0.00070423;0.0;533984362120900
9;[0.00765122];[-0.01684368];[-0.00623426];[0.01852592];[0.0021357];0.00809859;0.0;[-0.00026099];[-0.0065791];[0.00052934];[-0.00270807];[-0.00596053];-0.00070423;0.0;533984428889100
10;[0.00752366];[-0.00783163];[-0.00534876];[0.05957127];[0.00803294];0.00880282;0.0;[-0.00069771];[-0.00610129];[-0.00173059];[-0.03503695];[-0.00424998];-0.00070423;0.0;533984496084300
11;[0.0081212];[0.0009368];[-0.00272742];[0.08667753];[0.01369643];0.010915490000000002;0.0;[-0.00084415];[-0.00321875];[-0.00348759];[-0.00734759];[-0.00120257];-0.0;0.0;533984563420100
12;[0.00984364];[0.01186748];[-0.0002812];[0.11184503];[0.02287302];0.010915490000000002;4.286263797015736e-16;[-0.00039414];[0.00254073];[-0.0042783];[0.02359097];[0.00427329];-0.0;-7.0;533984630102800
