;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0];[0];[0];[0];0;0.11793785;0;[0];[0];[0];[0];0;0.10492958;0;533871093312500
1;[0.071569];[0.48808263];[-0.17811892];[1.2632522];0.10471975511965978;0.11793785;0;[0.06367511];[0.43424825];[-0.15847282];[1.12391842];0.10471975511965978;0.10492958;0;533871159688800
2;[0.11304525];[0.57199078];[-0.08612555];[1.57254523];0.10471975511965978;0.11793785;0;[0.10057015];[0.50814245];[-0.07263144];[1.46165092];0.10471975511965978;0.10492958;0;533871226608600
3;[0.13098067];[0.42644131];[0.04577604];[0.56551677];0.10471975511965978;0.11793785;0;[0.11648034];[0.37661226];[0.04775773];[0.54103445];0.10471975511965978;0.10492958;0;533871293637600
4;[0.13363895];[0.21345113];[0.13213472];[-0.1489179];0.10471975511965978;0.11723164000000001;0;[0.11875957];[0.18501954];[0.12599965];[-0.10693468];0.10471975511965978;0.1056338;0;533871360692500
5;[0.12837065];[0.02845453];[0.16392612];[-0.44112141];[0.09732496];0.11511299;0;[0.11478656];[0.02445239];[0.15270694];[-0.35680823];[0.08142432];0.10211268000000001;0;533871427855400
6;[0.12012575];[-0.09372998];[0.15568882];[-0.46544116];[-0.0056069];0.10734463;0;[0.10685944];[-0.08965599];[0.14264354];[-0.48936352];[-0.01216453];0.0915493;0;533871494860200
7;[0.10914783];[-0.16570516];[0.10193059];[-0.88769812];[-0.0356461];0.1009887;0;[0.09452722];[-0.16860176];[0.09542151];[-0.88299498];[-0.05473895];0.08380282;0;533871561826600
8;[0.09946526];[-0.17461755];[0.03951673];[-0.63949026];[-0.01456946];0.09180790999999999;0;[0.08325987];[-0.18384874];[0.03244089];[-0.73448898];[-0.03955141];0.07394366;0;533871628937500
9;[0.09017567];[-0.16055508];[0.00816818];[-0.20296974];[0.00094643];0.08121468999999999;0;[0.07278496];[-0.16941414];[-0.00424944];[-0.30593847];[-0.02154351];0.06408451;0;533871696133600
10;[0.08059509];[-0.14876593];[0.00128916];[-0.00794825];[-0.00084479];0.05720339;0;[0.06322153];[-0.14781485];[-0.01657598];[-0.04852286];[-0.01225375];0.042957749999999996;0;533871763209600
11;[0.0625877];[-0.19880295];[0.02115179];[-0.15765708];[-0.07971043];0.04519774;0;[0.04724268];[-0.17846518];[0.00091336];[-0.09000653];[-0.07218526];0.03309859;0;533871830221600
12;[0.0468855];[-0.20890108];[-0.00900768];[-0.57967526];[-0.08454186];0.03319209;0;[0.03413345];[-0.17570541];[-0.02143046];[-0.4166753];[-0.0696467];0.02323944;0;533871897175300
13;[0.03335715];[-0.1887301];[-0.04033094];[-0.37194033];[-0.06798207];0.01059322;0;[0.02320442];[-0.15199558];[-0.0424209];[-0.23034133];[-0.05368556];0.0056338;0;533871964337200
14;[0.01499181];[-0.2041203];[-0.03669594];[-0.24319122];-0.10471975511965978;0.0007062100000000001;0;[0.00892663];[-0.15831741];[-0.03594565];[-0.13445901];[-0.08531988];-0.00211268;0;533872031380700
15;[0.00137184];[-0.17881137];[-0.06019072];[-0.36851366];[-0.09271817];-0.007768359999999999;0;[-0.001572];[-0.13600851];[-0.05236652];[-0.27198538];[-0.06970129];-0.0084507;0;533872098450000
16;[-0.00835014];[-0.13285658];[-0.07735049];[-0.134082];[-0.0605909];-0.014830509999999998;0;[-0.00888705];[-0.09868311];[-0.06273621];[-0.06273642];[-0.04552555];-0.01338028;0;533872165788200
