;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0.06140437];[0.35949175];[-0.10897589];[0.78908729];0.10471975511965978;0.11184211;0;[-0.0633493];[-0.37087836];[0.11242762];[-0.814081];-0.10471975511965978;-0.11538462000000001;0;427064764802700
1;[0.10051674];[0.45808588];[-0.05254341];[1.28471776];0.10471975511965978;0.11239035;0;[-0.10309046];[-0.46923361];[0.05427087];[-1.2995967];-0.10471975511965978;-0.11483515999999999;0;427064831548000
2;[0.12066622];[0.38456642];[0.03263442];[0.63011388];0.10471975511965978;0.11239035;0;[-0.12350628];[-0.3929692];[-0.03250766];[-0.63222044];-0.10471975511965978;-0.11483515999999999;0;427064898750200
3;[0.12709996];[0.23875916];[0.0956666];[0.11516766];0.10471975511965978;0.11239035;0;[-0.13027196];[-0.24553719];[-0.09598857];[-0.11292455];-0.10471975511965978;-0.11538462000000001;0;427064965741200
4;[0.1256584];[0.09203148];[0.1274263];[-0.15814897];[0.1030346];0.1129386;0;[-0.12832719];[-0.09287075];[-0.12928274];[0.17181239];-0.10471975511965978;-0.11483515999999999;0;427065032732800
5;[0.12021921];[-0.02379884];[0.13430573];[-0.24316445];[0.0443908];0.11239035;0;[-0.12217441];[0.02811717];[-0.13728533];[0.25266766];[-0.04311868];-0.11373625999999999;0;427065099817600
6;[0.1125605];[-0.10108332];[0.10811098];[-0.52272848];[0.01186061];0.10910088;0;[-0.11282653];[0.11422985];[-0.11194899];[0.56262893];[-0.00516691];-0.10824175999999999;0;427065166884200
7;[0.10463193];[-0.13585394];[0.06932222];[-0.48199879];[0.00056909];0.10471491000000001;0;[-0.10357003];[0.15174134];[-0.06987466];[0.54166337];[0.00737785];-0.1032967;0;427065233904300
8;[0.08944782];[-0.18588635];[0.05033769];[-0.40757125];[-0.02893689];0.08497807;0;[-0.08710203];[0.20193751];[-0.04781249];[0.45266479];[0.03714622];-0.08241758;0;427065301121200
9;[0.07614842];[-0.19610094];[0.01982233];[-0.40733509];[-0.03521626];0.07565788999999999;0;[-0.07352786];[0.20544065];[-0.01360518];[0.42566793];[0.03966004];-0.07362637;0;427065368018400
10;[0.06462821];[-0.18188099];[-0.0058254];[-0.25062398];[-0.03106907];0.06578947;0;[-0.0623896];[0.18275386];[0.0131925];[0.22827019];[0.03122092];-0.06428571;0;427065435148700
11;[0.04916307];[-0.18989621];[-0.01034181];[-0.16748966];[-0.04566193];0.04605263;0;[-0.04792676];[0.18236484];[0.016682];[0.11775556];[0.04162308];-0.045604399999999996;0;427065502161800
12;[0.03717028];[-0.1721539];[-0.02451051];[-0.17732249];[-0.042684];0.0372807;0;[-0.03661131];[0.16239434];[0.02694979];[0.12331278];[0.03822112];-0.036813189999999996;0;427065569249000
13;[0.01731992];[-0.20387285];[-0.01647004];[-0.20234063];[-0.07446123];0.00986842;0;[-0.01948707];[0.18206907];[0.01965346];[0.1422301];[0.06223152];-0.01373626;0;427065636292500
14;[0.00319456];[-0.18882599];[-0.0364667];[-0.3147204];[-0.07222473];0.0021929799999999998;0;[-0.00814128];[0.16011128];[0.03607932];[0.21843822];[0.05588521];-0.00824176;0;427065703354500
15;[-0.01012859];[-0.1692089];[-0.04899815];[-0.19279567];[-0.07048838];-0.01151316;0;[0.00195923];[0.13542035];[0.04459344];[0.09544079];[0.05049938];0.0021978;0;427065770475600
16;[-0.01850099];[-0.12575682];[-0.06161553];[-0.07904385];[-0.05401224];-0.01699561;0;[0.00785861];[0.09490838];[0.05150321];[-0.00315927];[0.03500645];0.00604396;0;427065837496700
17;[-0.02334769];[-0.07789898];[-0.06399087];[0.07734001];[-0.0359];-0.021381579999999997;0;[0.01111255];[0.05549811];[0.04955974];[-0.11659049];[0.02054694];0.009340659999999999;0;427065904630200
18;[-0.02624183];[-0.04009132];[-0.05566779];[0.16230068];[-0.02354845];-0.025219299999999997;0;[0.01295982];[0.02664028];[0.04020639];[-0.16218246];[0.01159121];0.01208791;0;427065971586400
19;[-0.02830852];[-0.01723909];[-0.04246966];[0.15899379];[-0.01834994];-0.028508770000000003;0;[0.013918];[0.00850081];[0.02905421];[-0.14605418];[0.00706927];0.01373626;0;427066038694700
