;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0];[0];[0];[0];0;0.10734463;0;[0];[0];[0];[0];0;0.10410864;0;192105271353600
1;[0.06514065];[0.44424287];[-0.16212022];[1.14978643];0.10471975511965978;0.10734463;0;[0.06317693];[0.43085082];[-0.15723297];[1.1151252];0.10471975511965978;0.10410864;0;192105338434500
2;[0.10288621];[0.51999621];[-0.07513668];[1.482239];0.10471975511965978;0.10805085;0;[0.09978286];[0.50411304];[-0.07177983];[1.45465249];0.10471975511965978;0.10480501;0;192105405556700
3;[0.11960096];[0.38878594];[0.04632324];[0.55314416];0.10471975511965978;0.10805085;0;[0.11598782];[0.37634951];[0.04683109];[0.54694833];0.10471975511965978;0.10410864;0;192105472798100
4;[0.12219927];[0.19376433];[0.12640606];[-0.10870861];0.10471975511965978;0.10805085;0;[0.11806579];[0.18376132];[0.12594181];[-0.1058076];0.10471975511965978;0.10341226;0;192105539662300
5;[0.11782729];[0.02606991];[0.15535034];[-0.37587051];[0.07894796];0.10734463;0;[0.11313374];[0.01728462];[0.15486492];[-0.37206866];[0.06622485];0.10132312;0;192105606767700
6;[0.11125918];[-0.08011148];[0.14012198];[-0.49300952];[0.00171517];0.10169492;0;[0.1055446];[-0.09063035];[0.136594];[-0.5677259];[-0.01086236];0.09157382;0;192105673900000
7;[0.10266416];[-0.13837438];[0.0908559];[-0.73944218];[-0.01791441];0.09675141;0;[0.09403654];[-0.16153616];[0.08918468];[-0.82378478];[-0.04513485];0.08321727;0;192105740714100
8;[0.09508705];[-0.14475077];[0.03937587];[-0.49043529];[-0.00059084];0.08050847;0;[0.08291807];[-0.17822971];[0.03323234];[-0.65971544];[-0.03652411];0.06371866;0;192105808188600
9;[0.0823469];[-0.17022551];[0.02773124];[-0.23167914];[-0.03180322];0.07062147;0;[0.0665796];[-0.20721641];[0.01349248];[-0.40859431];[-0.0697234];0.05327298;0;192105874974800
10;[0.07075428];[-0.17094853];[0.00525664];[-0.30895487];[-0.03217437];0.06002825;0;[0.0531891];[-0.19495435];[-0.01978653];[-0.41858906];[-0.05613356];0.0428273;0;192105941802400
11;[0.05987657];[-0.15964339];[-0.01137475];[-0.17643961];[-0.02857986];0.04096045;0;[0.04207407];[-0.16436524];[-0.03942407];[-0.14654186];[-0.03772277];0.02332869;0;192106008995600
12;[0.04440016];[-0.18111402];[-0.00587525];[-0.17430545];[-0.06961712];0.03177966;0;[0.0267373];[-0.17397802];[-0.02717202];[-0.07344252];[-0.07494951];0.01427577;0;192106075883100
13;[0.03218768];[-0.16884078];[-0.02819556];[-0.34318076];[-0.06027101];0.024011300000000003;0;[0.01491807];[-0.15637663];[-0.04204993];[-0.27039114];[-0.06583683];0.00731198;0;192106143001800
14;[0.02311139];[-0.13474081];[-0.04617225];[-0.12474283];[-0.03703188];0.01059322;0;[0.00658186];[-0.11924439];[-0.05577783];[-0.08968904];[-0.04181806];-0.00383008;0;192106210172300
15;[0.01234686];[-0.12588479];[-0.03747547];[0.01029725];[-0.05233764];0.006355929999999999;0;[-0.00245467];[-0.10325694];[-0.04651384];[0.04418092];[-0.04977859];-0.008008359999999999;0;192106277218000
16;[0.00572406];[-0.09516823];[-0.04497402];[-0.0637674];[-0.03249726];0.00353107;0;[-0.00818697];[-0.07523778];[-0.04790382];[-0.01585036];[-0.03503187];-0.01009749;0;192106344222000
17;[0.00222552];[-0.05703241];[-0.04627101];[0.10740083];[-0.00945371];0.0014124300000000001;0;[-0.01098918];[-0.04130086];[-0.0470047];[0.09491409];[-0.01508176];-0.01149025;0;192106411352400
18;[0.00052551];[-0.0269996];[-0.0358147];[0.21549403];[0.00261082];0.0014124300000000001;0;[-0.01208953];[-0.014301];[-0.03726891];[0.18209796];[-0.00377912];-0.01149025;0;192106478325200
19;[0.00055614];[-0.00406084];[-0.02362356];[0.21579716];[0.01160429];0.00353107;0;[-0.01189532];[0.00444829];[-0.02538884];[0.17918089];[0.00253441];-0.00940111;0;192106545367700
20;[0.00236909];[0.01567878];[-0.01371652];[0.20683521];[0.02227361];0.006355929999999999;0;[-0.01013978];[0.02081587];[-0.01675595];[0.15841114];[0.01157443];-0.00731198;0;192106612320800
21;[0.0052415];[0.02945034];[-0.00344922];[0.21028218];[0.02954127];0.007768359999999999;0;[-0.0078142];[0.03004415];[-0.00727632];[0.15561849];[0.01527861];-0.0066156;0;192106679874200
22;[0.00751995];[0.02897249];[0.0091346];[0.17024855];[0.02415333];0.00847458;0;[-0.0062949];[0.02627658];[0.00332726];[0.10220393];[0.00785869];-0.005919219999999999;0;192106746505600
23;[0.0087684];[0.01853171];[0.01715543];[0.06121573];[0.01365538];0.00847458;0;[-0.00542242];[0.01752018];[0.00781251];[0.00380066];[0.00040611];-0.005919219999999999;0;192106813623800
24;[0.00895974];[0.00471116];[0.01839996];[-0.03639377];[0.00365968];0.00847458;0;[-0.00531873];[0.0073219];[0.00757893];[-0.05662279];[-0.00635427];-0.0066156;0;192106880618700
25;[0.00868514];[-0.00490547];[0.01372308];[-0.08279959];[-0.00030425];0.0070621500000000005;0;[-0.00595334];[-0.00220886];[0.00472015];[-0.08933442];[-0.01211559];-0.00731198;0;192106947916500
26;[0.00750416];[-0.01422108];[0.00972938];[-0.08201447];[-0.00621273];0.006355929999999999;0;[-0.00684876];[-0.00754057];[-0.00023335];[-0.09730272];[-0.01390325];-0.00731198;0;192107014793600
27;[0.00639803];[-0.0169315];[0.00354081];[-0.08151495];[-0.00556535];0.0049435;0;[-0.00730875];[-0.00571157];[-0.00593008];[-0.06711749];[-0.00959122];-0.00731198;0;192107081794300
28;[0.0050701];[-0.01807289];[6.06447832e-05];[-0.04693457];[-0.00621882];0.0049435;0;[-0.00741564];[-0.00109362];[-0.00825902];[-0.01226115];[-0.00523209];-0.0066156;0;192107148940200
29;[0.00453642];[-0.01230769];[-0.00414756];[-0.01954439];[-3.36926349e-05];0.006355929999999999;0;[-0.00690945];[0.00565351];[-0.00845436];[0.02520837];[0.00028865];-0.005919219999999999;0;192107216264200
30;[0.00534934];[0.00055131];[-0.00677381];[0.05100468];[0.01181877];0.006355929999999999;0;[-0.00611915];[0.01061049];[-0.00593314];[0.05090291];[0.00312621];-0.005919219999999999;0;192107283212800
31;[0.00600206];[0.00578682];[-0.00116389];[0.10648793];[0.01228579];0.006355929999999999;0;[-0.00569828];[0.0096194];[-0.00143376];[0.03935124];[1.79353126e-05];-0.005919219999999999;0;192107350089900
32;[0.0063589];[0.00458883];[0.00456985];[0.06511812];[0.00839245];0.0056497200000000004;0;[-0.00558042];[0.00597768];[0.00075788];[-0.00413804];[-0.00361247];-0.005919219999999999;0;192107417111400
33;[0.00601295];[-0.00209091];[0.00793252];[0.00620109];[0.00120436];0.0049435;0;[-0.00563498];[0.00268816];[0.00028838];[-0.03105681];[-0.00557221];-0.0066156;0;192107484327300
34;[0.00526614];[-0.00855028];[0.00689115];[-0.0455581];[-0.00344815];0.0049435;0;[-0.00615814];[-0.00183177];[-0.00029771];[-0.04194417];[-0.00917652];-0.0066156;0;192107551153300
35;[0.00481819];[-0.0090316];[0.00236599];[-0.04924213];[-0.00131424];0.0049435;0;[-0.0064737];[-0.00228575];[-0.00325282];[-0.04888689];[-0.0078744];-0.0066156;0;192107618385600
36;[0.00465348];[-0.00615385];[-0.00051058];[-0.00853531];[0.00217077];0.0056497200000000004;0;[-0.00659361];[-0.00038341];[-0.00525495];[-0.02214417];[-0.00551579];-0.005919219999999999;0;192107685338900
37;[0.00510259];[-2.58373347e-05];[-0.00176269];[0.02998231];[0.0078553];0.0056497200000000004;0;[-0.00616124];[0.00469295];[-0.00649206];[0.00673111];[-0.0005586];-0.005919219999999999;0;192107752561500
38;[0.00543764];[0.00219303];[0.00106306];[0.05562585];[0.00780779];0.0056497200000000004;0;[-0.00585886];[0.00634187];[-0.00412949];[0.02992908];[-0.00074024];-0.005919219999999999;0;192107819545500
39;[0.00560942];[0.0013051];[0.00379967];[0.03363835];[0.00573636];0.0056497200000000004;0;[-0.00571178];[0.00536915];[-0.00186036];[0.01056224];[-0.00261783];-0.005919219999999999;0;192107886539800
40;[0.00564158];[-0.00068772];[0.00477146];[0.00833204];[0.00387487];0.0056497200000000004;0;[-0.00568919];[0.00355073];[-0.00113702];[-0.01109496];[-0.00422896];-0.005919219999999999;0;192107953671700
41;[0.00560026];[-0.00228211];[0.00435095];[-0.00407617];[0.0030293];0.0056497200000000004;0;[-0.00572878];[0.00216607];[-0.00159004];[-0.02111137];[-0.0049163];-0.005919219999999999;0;192108020876100
42;[0.00554662];[-0.00296064];[0.00345509];[-0.0040441];[0.00305405];0.0056497200000000004;0;[-0.00577641];[0.00161486];[-0.00240552];[-0.02038002];[-0.00484917];-0.005919219999999999;0;192108087673200
43;[0.00551305];[-0.00291128];[0.00275097];[0.00183994];[0.00346479];0.00423729;0;[-0.00580485];[0.00169464];[-0.00301598];[-0.01488961];[-0.00446825];-0.005919219999999999;0;192108154846600
44;[0.00464732];[-0.00840304];[0.00459244];[-0.00744413];[-0.00300126];0.0056497200000000004;0;[-0.00581115];[0.0020206];[-0.00325192];[-0.00974745];[-0.00412289];-0.005919219999999999;0;192108221803100
45;[0.00501759];[-0.00286963];[-0.00055126];[-0.0232682];[0.00530892];0.0056497200000000004;0;[-0.00580446];[0.00230438];[-0.00320954];[-0.00714961];[-0.00395512];-0.005919219999999999;0;192108289184100
46;[0.00532899];[0.00057446];[2.84106595e-05];[0.04201033];[0.00728079];0.0056497200000000004;0;[-0.00579502];[0.00243588];[-0.00306186];[-0.00691087];[-0.00394605];-0.005919219999999999;0;192108356117700
47;[0.00553194];[0.00107308];[0.00251081];[0.03944171];[0.00627337];0.0056497200000000004;0;[-0.00578877];[0.00243692];[-0.00293608];[-0.00784636];[-0.00401282];-0.005919219999999999;0;192108423311900
48;[0.00561162];[-0.00016158];[0.00405971];[0.01860354];[0.00461033];0.0056497200000000004;0;[-0.00578689];[0.00237859];[-0.00287922];[-0.00887218];[-0.00408248];-0.005919219999999999;0;192108490372700
49;[0.00560489];[-0.00165315];[0.00426113];[0.00289591];[0.00349987];0.0056497200000000004;0;[-0.00578786];[0.00232081];[-0.00288016];[-0.0094573];[-0.00412076];-0.005919219999999999;0;192108557519900
50;[0.00556441];[-0.00257798];[0.00369682];[-0.00198913];[0.00318133];0.0056497200000000004;0;[-0.00578967];[0.00229039];[-0.00290676];[-0.00956894];[-0.00412692];-0.005919219999999999;0;192108624389900
51;[0.00552834];[-0.00281855];[0.0030317];[0.0006619];[0.00337648];0.0056497200000000004;0;[-0.005791];[0.00228659];[-0.00293245];[-0.00941449];[-0.00411569];-0.005919219999999999;0;192108691314900
52;[0.00551139];[-0.00263913];[0.00262679];[0.00558435];[0.00371408];0.0056497200000000004;0;[-0.00579149];[0.00229658];[-0.00294568];[-0.00921239];[-0.00410188];-0.005919219999999999;0;192108758436500
53;[0.00551109];[-0.00235486];[0.00252728];[0.00925874];[0.00395829];0.0049435;0;[-0.00579138];[0.00230811];[-0.00294709];[-0.00908359];[-0.00409338];-0.005919219999999999;0;192108825590800
54;[0.0050899];[-0.00507946];[0.00367825];[0.00309305];[0.00061606];0.0056497200000000004;0;[-0.00579104];[0.00231493];[-0.00294249];[-0.00904829];[-0.00409127];-0.005919219999999999;0;192108892504700
55;[0.00527906];[-0.00240885];[0.00121903];[-0.00665512];[0.00464624];0.0056497200000000004;0;[-0.00579076];[0.00231642];[-0.00293735];[-0.00907175];[-0.00409303];-0.005919219999999999;0;192108959427000
56;[0.00543343];[-0.00079076];[0.00151575];[0.02486575];[0.00555869];0.0056497200000000004;0;[-0.00579064];[0.00231481];[-0.00293437];[-0.00911073];[-0.00409571];-0.005919219999999999;0;192109026614600
57;[0.00553178];[-0.00060018];[0.00271294];[0.02331048];[0.00503916];0.0056497200000000004;0;[-0.00579065];[0.00231255];[-0.00293376];[-0.00913842];[-0.00409755];-0.005919219999999999;0;192109093872100
58;[0.00556916];[-0.00122827];[0.00344106];[0.01312978];[0.00422526];0.0056497200000000004;0;[-0.00579071];[0.00231106];[-0.00293451];[-0.00914803];[-0.00409815];-0.005919219999999999;0;192109160663800
59;[0.00556478];[-0.00195812];[0.00351614];[0.00563233];[0.00369448];0.0056497200000000004;0;[-0.00579077];[0.00231062];[-0.00293552];[-0.00914497];[-0.00409791];-0.005919219999999999;0;192109227853800
60;[0.00554465];[-0.00240003];[0.00322971];[0.00343222];[0.00355127];0.0056497200000000004;0;[-0.00579079];[0.00231086];[-0.00293618];[-0.00913763];[-0.0040974];-0.005919219999999999;0;192109294996400
61;[0.00552719];[-0.00250735];[0.00290453];[0.004835];[0.00365359];0.0056497200000000004;0;[-0.0057908];[0.00231129];[-0.00293636];[-0.0091318];[-0.00409701];-0.005919219999999999;0;192109362161400
62;[0.00551923];[-0.00241418];[0.00271125];[0.00726269];[0.0038198];0.0056497200000000004;0;[-0.00579079];[0.00231161];[-0.00293625];[-0.00912939];[-0.00409685];-0.005919219999999999;0;192109428971600
63;[0.00551932];[-0.00227449];[0.00266717];[0.00903208];[0.00393721];0.0056497200000000004;0;[-0.00579077];[0.00231172];[-0.00293606];[-0.00912965];[-0.00409688];-0.005919219999999999;0;192109495998600
64;[0.00552302];[-0.00217941];[0.0027108];[0.00967999];[0.00397764];0.0049435;0;[-0.00579077];[0.0023117];[-0.00293592];[-0.00913099];[-0.00409697];-0.0066156;0;192109563131700
65;[0.00509805];[-0.00507178];[0.00384004];[0.00195515];[0.00053444];0.0056497200000000004;0;[-0.00621336];[-0.00057033];[-0.00188414];[-0.01659124];[-0.0074792];-0.005919219999999999;0;192109630341400
66;[0.00528168];[-0.00248051];[0.00129503];[-0.00796153];[0.00455737];0.0056497200000000004;0;[-0.00603412];[0.00199774];[-0.00443493];[-0.02592717];[-0.00348155];-0.005919219999999999;0;192109697363800
67;[0.00543233];[-0.00086462];[0.00151736];[0.02409658];[0.00550824];0.0056497200000000004;0;[-0.00588578];[0.00361731];[-0.00422833];[0.00604795];[-0.00251955];-0.005919219999999999;0;192109764296200
68;[0.00552952];[-0.00064039];[0.00268021];[0.02314475];[0.00502972];0.0056497200000000004;0;[-0.00578931];[0.00385832];[-0.00307549];[0.00526679];[-0.00298136];-0.005919219999999999;0;192109831285600
69;[0.00556743];[-0.00123443];[0.00340818];[0.0133142];[0.00423877];0.0056497200000000004;0;[-0.00575122];[0.00328029];[-0.00234586];[-0.00443633];[-0.00376244];-0.005919219999999999;0;192109898466600
70;[0.00556411];[-0.00194602];[0.00349861];[0.00588828];[0.003712];0.0056497200000000004;0;[-0.00575409];[0.00257722];[-0.0022479];[-0.01183921];[-0.00428751];-0.005919219999999999;0;192109965533500
71;[0.00554477];[-0.00238536];[0.00322734];[0.00360039];[0.00356239];0.0056497200000000004;0;[-0.00577307];[0.00213915];[-0.00251209];[-0.01416991];[-0.00444007];-0.005919219999999999;0;192110032498500
72;[0.00552761];[-0.00249841];[0.00291011];[0.00488466];[0.0036566];0.0056497200000000004;0;[-0.00579009];[0.00202353];[-0.00282562];[-0.01294061];[-0.00434957];-0.005919219999999999;0;192110099549400
73;[0.00551959];[-0.00241201];[0.0027178];[0.00723557];[0.00381774];0.0056497200000000004;0;[-0.00579814];[0.00210685];[-0.00301745];[-0.01062515];[-0.00419076];-0.005919219999999999;0;192110166797300
74;[0.00551948];[-0.00227639];[0.00267109];[0.00898303];[0.00393383];0.0056497200000000004;0;[-0.00579833];[0.0022406];[-0.00306534];[-0.00888795];[-0.00407528];-0.005919219999999999;0;192110233790300
75;[0.00552301];[-0.00218227];[0.00271169];[0.00964405];[0.00397524];0.0056497200000000004;0;[-0.00579488];[0.00233429];[-0.00302611];[-0.00822109];[-0.00403342];-0.005919219999999999;0;192110300895000
76;[0.00552653];[-0.00215105];[0.00277256];[0.00950643];[0.00396355];0.0056497200000000004;0;[-0.00579139];[0.00236592];[-0.00296606];[-0.00834837];[-0.0040444];-0.005919219999999999;0;192110367822700
77;[0.0055284];[-0.00216288];[0.00281398];[0.00907348];[0.00393339];0.0056497200000000004;0;[-0.00578953];[0.0023547];[-0.00292482];[-0.00877381];[-0.00407406];-0.005919219999999999;0;192110435073000
